s,D0_U5.87_F_16mA,D0_U9.A8_F_16mA,D0_U1.AA17_F_16mA,D0_U8.G3_F_16mA
0,4.41E-06,4.28E-06,4.24E-06,4.28E-06
1.02E-10,4.41E-06,3.33E-06,4.24E-06,4.43E-06
1.05E-10,4.41E-06,3.33E-06,4.24E-06,4.43E-06
2.04E-10,4.27E-06,3.32E-06,4.23E-06,5.00E-06
2.11E-10,4.26E-06,3.32E-06,4.23E-06,5.04E-06
3.06E-10,3.99E-06,3.27E-06,4.22E-06,5.00E-06
3.16E-10,3.96E-06,3.32E-06,4.22E-06,5.00E-06
4.08E-10,3.90E-06,3.80E-06,4.14E-06,4.90E-06
4.21E-10,3.89E-06,3.78E-06,4.13E-06,4.88E-06
5.10E-10,4.31E-06,3.67E-06,4.05E-06,5.07E-06
5.26E-10,4.38E-06,3.27E-06,4.04E-06,5.10E-06
6.12E-10,4.26E-06,1.22E-06,3.85E-06,3.84E-06
6.32E-10,4.23E-06,1.28E-06,3.80E-06,3.55E-06
7.14E-10,2.76E-06,1.51E-06,4.59E-06,3.51E-06
7.37E-10,2.35E-06,1.60E-06,4.81E-06,3.50E-06
8.16E-10,1.28E-06,1.89E-06,4.32E-06,3.36E-06
8.42E-10,9.21E-07,1.71E-06,4.16E-06,3.31E-06
9.18E-10,8.81E-07,1.19E-06,4.47E-06,3.39E-06
9.48E-10,8.65E-07,1.08E-06,4.59E-06,3.42E-06
1.02E-09,-6.24E-07,8.26E-07,3.81E-06,2.40E-06
1.05E-09,-1.30E-06,1.64E-06,3.45E-06,1.94E-06
1.12E-09,-8.07E-07,3.34E-06,3.38E-06,1.82E-06
1.16E-09,-5.49E-07,3.03E-06,3.34E-06,1.75E-06
1.22E-09,-5.12E-07,2.45E-06,3.08E-06,1.28E-06
1.26E-09,-4.90E-07,1.89E-06,2.92E-06,1.00E-06
1.33E-09,5.23E-07,1.01E-06,3.24E-06,1.08E-06
1.37E-09,1.22E-06,2.15E-06,3.45E-06,1.13E-06
1.43E-09,1.75E-06,3.73E-06,3.00E-06,1.55E-06
1.47E-09,2.16E-06,2.90E-06,2.66E-06,1.88E-06
1.53E-09,2.10E-06,1.90E-06,2.61E-06,1.90E-06
