s,D0_U5.87_F_4mA,D0_U9.A8_F_4mA,D0_U1.AA17_F_4mA,D0_U8.G3_F_4mA
0,1.20E-05,1.15E-05,1.15E-05,1.15E-05
1.02E-10,1.20E-05,1.19E-05,1.15E-05,1.20E-05
1.05E-10,1.20E-05,1.20E-05,1.15E-05,1.20E-05
2.04E-10,1.20E-05,1.29E-05,1.15E-05,1.05E-05
2.11E-10,1.20E-05,1.29E-05,1.15E-05,1.04E-05
3.06E-10,1.22E-05,1.25E-05,1.14E-05,1.05E-05
3.16E-10,1.22E-05,1.26E-05,1.14E-05,1.05E-05
4.08E-10,1.21E-05,1.40E-05,1.14E-05,1.10E-05
4.21E-10,1.21E-05,1.42E-05,1.14E-05,1.11E-05
5.10E-10,1.18E-05,1.53E-05,1.11E-05,1.04E-05
5.26E-10,1.18E-05,1.53E-05,1.11E-05,1.03E-05
6.12E-10,1.19E-05,1.53E-05,1.17E-05,1.10E-05
6.32E-10,1.19E-05,1.48E-05,1.18E-05,1.11E-05
7.14E-10,1.42E-05,1.28E-05,1.16E-05,1.13E-05
7.37E-10,1.49E-05,1.23E-05,1.15E-05,1.13E-05
8.16E-10,1.57E-05,1.09E-05,1.24E-05,1.30E-05
8.42E-10,1.59E-05,1.14E-05,1.27E-05,1.35E-05
9.18E-10,1.58E-05,1.29E-05,1.25E-05,1.44E-05
9.48E-10,1.58E-05,1.30E-05,1.24E-05,1.48E-05
1.02E-09,1.56E-05,1.32E-05,1.19E-05,1.48E-05
1.05E-09,1.55E-05,1.32E-05,1.17E-05,1.48E-05
1.12E-09,1.54E-05,1.32E-05,1.18E-05,1.44E-05
1.16E-09,1.54E-05,1.32E-05,1.18E-05,1.42E-05
1.22E-09,1.38E-05,1.32E-05,1.21E-05,1.43E-05
1.26E-09,1.29E-05,1.41E-05,1.22E-05,1.43E-05
1.33E-09,1.20E-05,1.55E-05,1.27E-05,1.52E-05
1.37E-09,1.13E-05,1.54E-05,1.30E-05,1.58E-05
1.43E-09,1.13E-05,1.52E-05,1.29E-05,1.59E-05
1.47E-09,1.13E-05,1.39E-05,1.28E-05,1.60E-05
1.53E-09,1.18E-05,1.24E-05,1.27E-05,1.49E-05
1.58E-09,1.22E-05,1.37E-05,1.25E-05,1.39E-05
1.63E-09,1.21E-05,1.50E-05,1.36E-05,1.38E-05
1.68E-09,1.20E-05,1.60E-05,1.47E-05,1.37E-05
1.73E-09,1.21E-05,1.69E-05,1.49E-05,1.43E-05
1.79E-09,1.22E-05,1.58E-05,1.51E-05,1.51E-05
1.84E-09,1.40E-05,1.49E-05,1.46E-05,1.51E-05
1.90E-09,1.63E-05,1.12E-05,1.40E-05,1.51E-05
1.94E-09,1.63E-05,8.49E-06,1.42E-05,1.53E-05
2.00E-09,1.62E-05,9.48E-06,1.43E-05,1.55E-05
2.04E-09,1.58E-05,1.01E-05,1.45E-05,1.50E-05
2.11E-09,1.53E-05,1.03E-05,1.49E-05,1.40E-05
2.14E-09,1.47E-05,1.04E-05,1.45E-05,1.40E-05
2.21E-09,1.37E-05,9.86E-06,1.37E-05,1.38E-05
2.24E-09,1.27E-05,9.58E-06,1.38E-05,1.38E-05
2.32E-09,1.05E-05,8.42E-06,1.40E-05,1.37E-05
2.35E-09,9.54E-06,7.94E-06,1.37E-05,1.31E-05
2.42E-09,6.97E-06,1.10E-05,1.30E-05,1.16E-05
2.45E-09,6.32E-06,1.20E-05,1.31E-05,1.14E-05
2.53E-09,4.36E-06,1.32E-05,1.34E-05,1.06E-05
2.55E-09,4.50E-06,1.36E-05,1.32E-05,1.06E-05
2.63E-09,4.99E-06,1.39E-05,1.23E-05,1.06E-05
2.65E-09,5.04E-06,1.40E-05,1.23E-05,1.03E-05
2.74E-09,5.29E-06,1.29E-05,1.26E-05,9.03E-06
2.75E-09,6.00E-06,1.27E-05,1.27E-05,8.95E-06
2.84E-09,9.83E-06,1.21E-05,1.33E-05,8.53E-06
2.86E-09,1.04E-05,1.20E-05,1.33E-05,8.75E-06
2.95E-09,1.45E-05,9.63E-06,1.33E-05,1.03E-05
2.96E-09,1.49E-05,9.38E-06,1.34E-05,1.03E-05
3.05E-09,1.81E-05,1.11E-05,1.40E-05,1.05E-05
3.06E-09,1.82E-05,1.13E-05,1.39E-05,1.06E-05
3.16E-09,1.98E-05,9.47E-06,1.37E-05,1.09E-05
3.16E-09,1.97E-05,9.41E-06,1.37E-05,1.09E-05
3.26E-09,1.82E-05,1.19E-05,1.16E-05,9.80E-06
3.37E-09,1.68E-05,1.31E-05,1.08E-05,1.03E-05
3.37E-09,1.67E-05,1.32E-05,1.08E-05,1.03E-05
