s,D0_U5.87_S_2mA,D0_U9.A8_S_2mA,D0_U1.AA17_S_2mA,D0_U8.G3_S_2mA
0,2.28E-05,2.20E-05,2.19E-05,2.20E-05
1.02E-10,2.28E-05,2.21E-05,2.19E-05,2.28E-05
1.05E-10,2.28E-05,2.21E-05,2.19E-05,2.28E-05
2.04E-10,2.27E-05,2.25E-05,2.19E-05,2.28E-05
2.11E-10,2.26E-05,2.24E-05,2.19E-05,2.28E-05
3.06E-10,2.25E-05,2.15E-05,2.19E-05,2.28E-05
3.16E-10,2.24E-05,2.18E-05,2.19E-05,2.28E-05
4.08E-10,2.22E-05,2.44E-05,2.18E-05,2.29E-05
4.21E-10,2.22E-05,2.40E-05,2.18E-05,2.30E-05
5.10E-10,2.21E-05,2.12E-05,2.15E-05,2.19E-05
5.26E-10,2.20E-05,2.16E-05,2.15E-05,2.17E-05
6.12E-10,2.14E-05,2.35E-05,2.28E-05,2.17E-05
6.32E-10,2.13E-05,2.32E-05,2.31E-05,2.17E-05
7.14E-10,2.17E-05,2.17E-05,2.31E-05,2.14E-05
7.37E-10,2.18E-05,2.14E-05,2.31E-05,2.13E-05
8.16E-10,2.11E-05,2.06E-05,2.31E-05,2.24E-05
8.42E-10,2.09E-05,2.08E-05,2.31E-05,2.27E-05
9.18E-10,2.10E-05,2.15E-05,2.34E-05,2.27E-05
9.48E-10,2.11E-05,2.11E-05,2.35E-05,2.26E-05
1.02E-09,2.12E-05,2.01E-05,2.23E-05,2.26E-05
1.05E-09,2.13E-05,2.11E-05,2.18E-05,2.25E-05
1.12E-09,2.15E-05,2.33E-05,2.18E-05,2.23E-05
1.16E-09,2.17E-05,2.28E-05,2.18E-05,2.21E-05
1.22E-09,2.18E-05,2.18E-05,2.19E-05,2.25E-05
1.26E-09,2.19E-05,2.21E-05,2.19E-05,2.27E-05
1.33E-09,2.21E-05,2.25E-05,2.24E-05,2.22E-05
1.37E-09,2.23E-05,2.25E-05,2.27E-05,2.19E-05
1.43E-09,2.14E-05,2.26E-05,2.28E-05,2.19E-05
1.47E-09,2.08E-05,2.39E-05,2.28E-05,2.20E-05
1.53E-09,2.12E-05,2.54E-05,2.29E-05,2.23E-05
1.58E-09,2.15E-05,2.59E-05,2.30E-05,2.26E-05
1.63E-09,2.26E-05,2.65E-05,2.24E-05,2.26E-05
1.68E-09,2.36E-05,2.54E-05,2.18E-05,2.26E-05
1.73E-09,2.46E-05,2.44E-05,2.18E-05,2.28E-05
1.79E-09,2.58E-05,2.55E-05,2.18E-05,2.31E-05
1.84E-09,2.68E-05,2.65E-05,2.17E-05,2.32E-05
1.90E-09,2.80E-05,2.67E-05,2.16E-05,2.32E-05
1.94E-09,2.81E-05,2.69E-05,2.21E-05,2.34E-05
2.00E-09,2.83E-05,2.58E-05,2.29E-05,2.36E-05
2.04E-09,2.89E-05,2.51E-05,2.30E-05,2.31E-05
2.11E-09,2.99E-05,2.52E-05,2.33E-05,2.24E-05
2.14E-09,3.02E-05,2.53E-05,2.36E-05,2.25E-05
2.21E-09,3.10E-05,2.47E-05,2.43E-05,2.28E-05
2.24E-09,3.07E-05,2.45E-05,2.43E-05,2.31E-05
2.32E-09,3.02E-05,2.57E-05,2.42E-05,2.38E-05
2.35E-09,2.98E-05,2.62E-05,2.40E-05,2.38E-05
2.42E-09,2.88E-05,2.80E-05,2.37E-05,2.39E-05
2.45E-09,2.82E-05,2.86E-05,2.37E-05,2.38E-05
2.53E-09,2.64E-05,2.85E-05,2.37E-05,2.35E-05
2.55E-09,2.60E-05,2.84E-05,2.36E-05,2.35E-05
2.63E-09,2.44E-05,2.91E-05,2.33E-05,2.36E-05
2.65E-09,2.45E-05,2.93E-05,2.38E-05,2.41E-05
2.74E-09,2.50E-05,2.53E-05,2.59E-05,2.65E-05
2.75E-09,2.49E-05,2.45E-05,2.59E-05,2.68E-05
2.84E-09,2.42E-05,2.35E-05,2.62E-05,2.83E-05
2.86E-09,2.42E-05,2.34E-05,2.62E-05,2.83E-05
