s,D0_U5.87_S_24mA,D0_U9.A8_S_24mA,D0_U1.AA17_S_24mA,D0_U8.G3_S_24mA
0,3.14E-06,3.04E-06,3.01E-06,3.04E-06
1.02E-10,3.14E-06,3.79E-06,3.01E-06,3.15E-06
1.05E-10,3.14E-06,3.73E-06,3.01E-06,3.16E-06
2.04E-10,3.23E-06,1.89E-06,3.01E-06,3.56E-06
2.11E-10,3.23E-06,1.92E-06,3.01E-06,3.58E-06
3.06E-10,3.15E-06,2.37E-06,3.00E-06,2.11E-06
3.16E-10,3.15E-06,2.40E-06,3.00E-06,1.96E-06
4.08E-10,3.23E-06,2.68E-06,3.00E-06,2.11E-06
4.21E-10,3.24E-06,2.61E-06,3.00E-06,2.13E-06
5.10E-10,3.22E-06,2.19E-06,2.86E-06,2.44E-06
5.26E-10,3.22E-06,2.08E-06,2.84E-06,2.49E-06
6.12E-10,3.43E-06,1.55E-06,2.65E-06,1.72E-06
6.32E-10,3.48E-06,1.56E-06,2.60E-06,1.55E-06
7.14E-10,2.35E-06,1.62E-06,1.98E-06,1.86E-06
7.37E-10,2.03E-06,1.75E-06,1.81E-06,1.95E-06
8.16E-10,1.88E-06,2.17E-06,1.82E-06,2.75E-06
8.42E-10,1.83E-06,2.29E-06,1.82E-06,3.02E-06
9.18E-10,1.67E-06,2.64E-06,2.52E-06,2.97E-06
9.48E-10,1.61E-06,2.07E-06,2.80E-06,2.96E-06
1.02E-09,1.60E-06,6.91E-07,2.64E-06,2.56E-06
1.05E-09,1.60E-06,1.84E-06,2.57E-06,2.37E-06
1.12E-09,1.65E-06,4.24E-06,2.24E-06,2.44E-06
1.16E-09,1.68E-06,4.03E-06,2.07E-06,2.48E-06
1.22E-09,2.39E-06,3.65E-06,2.09E-06,2.52E-06
1.26E-09,2.81E-06,3.54E-06,2.10E-06,2.54E-06
1.33E-09,2.88E-06,3.38E-06,1.79E-06,2.38E-06
1.37E-09,2.93E-06,3.36E-06,1.58E-06,2.27E-06
1.43E-09,2.76E-06,3.34E-06,1.57E-06,3.27E-06
1.47E-09,2.62E-06,3.44E-06,1.56E-06,4.05E-06
1.53E-09,3.72E-06,3.55E-06,2.31E-06,4.08E-06
1.58E-09,4.69E-06,4.79E-06,2.97E-06,4.10E-06
1.63E-09,4.94E-06,6.11E-06,2.84E-06,4.26E-06
